world,region,country,state,tier,channel,segment,scenario,fy,quarter,month,amount,room_nights_sold,rooms_available
World,West,US,CA,Luxury,Direct,Leisure,Actual,FY2025,Q1,2025-03,166008.10,723,900
World,West,US,CA,Luxury,Direct,Leisure,Plan,FY2025,Q1,2025-03,114744.31,732,900
World,West,US,CA,Luxury,Direct,Leisure,WhatIf_A,FY2025,Q1,2025-03,142067.57,753,900
World,West,US,CA,Luxury,Direct,Business,Actual,FY2025,Q1,2025-03,142577.95,684,900
World,West,US,CA,Luxury,Direct,Business,Plan,FY2025,Q1,2025-03,147491.06,729,900
World,West,US,CA,Luxury,Direct,Business,WhatIf_A,FY2025,Q1,2025-03,181262.28,798,900
World,West,US,CA,Luxury,OTA,Leisure,Actual,FY2025,Q1,2025-03,163871.39,727,900
World,West,US,CA,Luxury,OTA,Leisure,Plan,FY2025,Q1,2025-03,155979.46,735,900
World,West,US,CA,Luxury,OTA,Leisure,WhatIf_A,FY2025,Q1,2025-03,150265.64,622,900
World,West,US,CA,Luxury,OTA,Business,Actual,FY2025,Q1,2025-03,127350.52,649,900
World,West,US,CA,Luxury,OTA,Business,Plan,FY2025,Q1,2025-03,150220.49,626,900
World,West,US,CA,Luxury,OTA,Business,WhatIf_A,FY2025,Q1,2025-03,167151.90,754,900
World,West,US,CA,Premium,Direct,Leisure,Actual,FY2025,Q1,2025-03,146468.04,687,900
World,West,US,CA,Premium,Direct,Leisure,Plan,FY2025,Q1,2025-03,122513.54,786,900
World,West,US,CA,Premium,Direct,Leisure,WhatIf_A,FY2025,Q1,2025-03,175587.66,657,900
World,West,US,CA,Premium,Direct,Business,Actual,FY2025,Q1,2025-03,166876.10,613,900
World,West,US,CA,Premium,Direct,Business,Plan,FY2025,Q1,2025-03,125819.21,680,900
World,West,US,CA,Premium,Direct,Business,WhatIf_A,FY2025,Q1,2025-03,172654.70,620,900
World,West,US,CA,Premium,OTA,Leisure,Actual,FY2025,Q1,2025-03,136176.93,701,900
World,West,US,CA,Premium,OTA,Leisure,Plan,FY2025,Q1,2025-03,157005.08,727,900
World,West,US,CA,Premium,OTA,Leisure,WhatIf_A,FY2025,Q1,2025-03,137635.86,666,900
World,West,US,CA,Premium,OTA,Business,Actual,FY2025,Q1,2025-03,130039.41,757,900
World,West,US,CA,Premium,OTA,Business,Plan,FY2025,Q1,2025-03,118712.02,626,900
World,West,US,CA,Premium,OTA,Business,WhatIf_A,FY2025,Q1,2025-03,149238.21,624,900
World,Northeast,US,NY,Luxury,Direct,Leisure,Actual,FY2025,Q1,2025-03,164998.02,652,900
World,Northeast,US,NY,Luxury,Direct,Leisure,Plan,FY2025,Q1,2025-03,123479.35,620,900
World,Northeast,US,NY,Luxury,Direct,Leisure,WhatIf_A,FY2025,Q1,2025-03,156394.68,737,900
World,Northeast,US,NY,Luxury,Direct,Business,Actual,FY2025,Q1,2025-03,120724.93,664,900
World,Northeast,US,NY,Luxury,Direct,Business,Plan,FY2025,Q1,2025-03,134000.69,704,900
World,Northeast,US,NY,Luxury,Direct,Business,WhatIf_A,FY2025,Q1,2025-03,152445.22,700,900
World,Northeast,US,NY,Luxury,OTA,Leisure,Actual,FY2025,Q1,2025-03,145993.33,653,900
World,Northeast,US,NY,Luxury,OTA,Leisure,Plan,FY2025,Q1,2025-03,145480.07,712,900
World,Northeast,US,NY,Luxury,OTA,Leisure,WhatIf_A,FY2025,Q1,2025-03,180782.97,766,900
World,Northeast,US,NY,Luxury,OTA,Business,Actual,FY2025,Q1,2025-03,122112.20,711,900
World,Northeast,US,NY,Luxury,OTA,Business,Plan,FY2025,Q1,2025-03,133546.21,711,900
World,Northeast,US,NY,Luxury,OTA,Business,WhatIf_A,FY2025,Q1,2025-03,181514.42,785,900
World,Northeast,US,NY,Premium,Direct,Leisure,Actual,FY2025,Q1,2025-03,158156.39,704,900
World,Northeast,US,NY,Premium,Direct,Leisure,Plan,FY2025,Q1,2025-03,153541.06,719,900
World,Northeast,US,NY,Premium,Direct,Leisure,WhatIf_A,FY2025,Q1,2025-03,145102.03,610,900
World,Northeast,US,NY,Premium,Direct,Business,Actual,FY2025,Q1,2025-03,163745.57,717,900
World,Northeast,US,NY,Premium,Direct,Business,Plan,FY2025,Q1,2025-03,120143.45,682,900
World,Northeast,US,NY,Premium,Direct,Business,WhatIf_A,FY2025,Q1,2025-03,153980.20,715,900
World,Northeast,US,NY,Premium,OTA,Leisure,Actual,FY2025,Q1,2025-03,159266.44,768,900
World,Northeast,US,NY,Premium,OTA,Leisure,Plan,FY2025,Q1,2025-03,131444.76,657,900
World,Northeast,US,NY,Premium,OTA,Leisure,WhatIf_A,FY2025,Q1,2025-03,144672.95,622,900
World,Northeast,US,NY,Premium,OTA,Business,Actual,FY2025,Q1,2025-03,123413.05,741,900
World,Northeast,US,NY,Premium,OTA,Business,Plan,FY2025,Q1,2025-03,125198.52,630,900
World,Northeast,US,NY,Premium,OTA,Business,WhatIf_A,FY2025,Q1,2025-03,160778.17,675,900
World,South,US,TX,Luxury,Direct,Leisure,Actual,FY2025,Q1,2025-03,138207.72,731,900
World,South,US,TX,Luxury,Direct,Leisure,Plan,FY2025,Q1,2025-03,135477.29,727,900
World,South,US,TX,Luxury,Direct,Leisure,WhatIf_A,FY2025,Q1,2025-03,150576.14,714,900
World,South,US,TX,Luxury,Direct,Business,Actual,FY2025,Q1,2025-03,121455.46,666,900
World,South,US,TX,Luxury,Direct,Business,Plan,FY2025,Q1,2025-03,158079.33,703,900
World,South,US,TX,Luxury,Direct,Business,WhatIf_A,FY2025,Q1,2025-03,158865.11,612,900
World,South,US,TX,Luxury,OTA,Leisure,Actual,FY2025,Q1,2025-03,167760.02,648,900
World,South,US,TX,Luxury,OTA,Leisure,Plan,FY2025,Q1,2025-03,124614.94,678,900
World,South,US,TX,Luxury,OTA,Leisure,WhatIf_A,FY2025,Q1,2025-03,163323.13,749,900
World,South,US,TX,Luxury,OTA,Business,Actual,FY2025,Q1,2025-03,167877.91,633,900
